region_id,region_type,geoid,name,year,ag_cells,ag_acres,developed_cells,developed_acres,valid_cells,valid_acres
county:39115,county,39115,Morgan County,2002,271779,60442.2481226663,81480,18120.7318337136,1213599,269898.159458309
county:39117,county,39117,Morrow County,2002,798068,177486.207818706,103269,22966.4930748131,1171686,260576.924390238
county:39119,county,39119,Muskingum County,2002,640197,142376.511508934,222078,49389.002014819,1936010,430558.640615953
county:39121,county,39121,Noble County,2002,269215,59872.0277443938,81776,18186.5607073363,1164316,258937.874394969
county:39123,county,39123,Ottawa County,2002,471503,104859.83580991,127671,28393.3720415077,759930,169004.513284168
county:39125,county,39125,Paulding County,2002,1013265,225344.91091664,103055,22918.9005783426,1205299,268052.282258753
county:39127,county,39127,Perry County,2002,370149,82319.2288600547,98981,22012.8639866569,1187095,264003.806530955
county:39129,county,39129,Pickaway County,2002,1186163,263796.534536981,133660,29725.2947581512,1457778,324202.309905343
county:39131,county,39131,Pike County,2002,314495,69942.0662499234,99508,22130.0660690866,1277175,284037.134017221
county:39133,county,39133,Portage County,2002,473951,105404.258386357,280793,62446.9152403528,1450492,322581.941076913
county:39135,county,39135,Preble County,2002,918031,204165.360407903,117908,26222.1311861746,1227534,272997.231599973
county:39137,county,39137,Putnam County,2002,1195521,265877.70548077,134730,29963.2572405036,1393400,309884.974682088
county:39139,county,39139,Richland County,2002,759216,168845.723366037,243165,54078.6420759078,1439189,320068.212162868
county:39141,county,39141,Ross County,2002,901859,200568.791001732,175569,39045.6402468491,1994642,443598.095069492
county:39143,county,39143,Sandusky County,2002,888330,197560.011166456,154489,34357.5569496635,1184537,263434.920521743
county:39145,county,39145,Scioto County,2002,315816,70235.8498379491,172409,38342.8725419579,1773271,394366.3262089
county:39147,county,39147,Seneca County,2002,1263324,280956.743042396,168885,37559.1531140982,1590739,353772.150668014
county:39149,county,39149,Shelby County,2002,921765,204995.78275286,129117,28714.9549849484,1181778,262821.333149023
county:39151,county,39151,Stark County,2002,700128,155704.856863945,552922,122967.001558181,1670468,371503.469131074
county:39153,county,39153,Summit County,2002,108731,24181.2137090269,711500,158233.93102218,1209045,268885.373341829
county:39155,county,39155,Trumbull County,2002,570020,126769.508589266,395110,87870.4265441652,1830775,407154.919279173
county:39157,county,39157,Tuscarawas County,2002,543592,120892.057670005,212781,47321.3971564729,1644968,365832.400626414
county:39159,county,39159,Union County,2002,999101,222194.910355855,131389,29220.2360689715,1257274,279611.25424031
county:39161,county,39161,Van Wert County,2002,1027446,228498.692189761,110316,24533.7095356891,1181238,262701.23993363
county:39163,county,39163,Vinton County,2002,153405,34116.4809395046,68176,15161.9908381843,1194610,265675.103778505
county:39165,county,39165,Warren County,2002,579772,128938.303101323,269574,59951.8674931457,1172576,260774.855800792
county:39167,county,39167,Washington County,2002,395930,88052.7903156876,181818,40435.3856227558,1841521,409544.77426549
county:39169,county,39169,Wayne County,2002,1082947,240841.828388864,229146,50960.8887674047,1601986,356273.425470834
county:39171,county,39171,Williams County,2002,922518,205163.24606988,128743,28631.7793135468,1217821,270837.110486806
county:39173,county,39173,Wood County,2002,1404713,312400.927544567,283556,63061.3921924459,1785839,397161.384599746
county:39175,county,39175,Wyandot County,2002,941471,209378.295535324,102736,22847.9566233235,1172927,260852.916390798
state:OH,state,39,Ohio,2003,59989017,13341248.0366358,18884107,4199728.01750312,118730703,26405096.0909585
county:39001,county,39001,Adams County,2003,560711,124699.234992801,109268,24300.6397398898,1687198,375224.134859817
county:39003,county,39003,Allen County,2003,844286,187764.85268727,214798,47769.9675554494,1171210,260471.064444817
county:39005,county,39005,Ashland County,2003,723038,160799.922724406,132000,29356.11931824,1228405,273190.937508505
county:39007,county,39007,Ashtabula County,2003,696993,155007.649030137,257856,57345.8447191219,2041169,453945.459944641
county:39009,county,39009,Athens County,2003,241669,53745.9393903011,140121,31162.1878408417,1462779,325314.506516786
county:39011,county,39011,Auglaize County,2003,917412,204027.697999888,134451,29901.2090792173,1156582,257217.872676732
county:39013,county,39013,Belmont County,2003,473168,105230.123224038,167067,37154.8392889424,1557937,346477.155017431
county:39015,county,39015,Brown County,2003,817265,181755.52162592,128440,28564.3936760208,1418496,315466.195670047
county:39017,county,39017,Butler County,2003,632811,140733.903196173,435821,96924.3430105657,1352569,300804.370834489
county:39019,county,39019,Carroll County,2003,410869,91375.1468800451,100530,22357.3535989596,1148116,255335.077933185
county:39021,county,39021,Champaign County,2003,970418,215815.959064908,106984,23792.6899177469,1236730,275042.374579144
county:39023,county,39023,Clark County,2003,787142,175056.321760591,226064,50275.4678602925,1155670,257015.048579624
county:39025,county,39025,Clermont County,2003,454138,100997.949355658,271360,60349.0646833152,1323627,294367.819279122
county:39027,county,39027,Clinton County,2003,917806,204115.321568156,119302,26532.1495977626,1186670,263909.288722544
county:39029,county,39029,Columbiana County,2003,623870,138745.470902048,222675,49521.771736281,1538677,342193.830335088
county:39031,county,39031,Coshocton County,2003,580106,129012.582978992,129573,28816.3670335024,1632802,363126.744962583
